job_title,company,location,job_summary,post_date,extract_date,job_url
Business Analyst - E-Commerce,Happily Unmarried,"New Delhi, Delhi","Someone with working knowledge of Excel, SQL (This is a data heavy role).
This role would require the individual to work as a Business Analyst in our Online…",30+ days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=a5f7eb2c2626938d&fccid=bdc8bc8a7a6c2698&vjs=3
Manager - Tech Consulting - National - Data & Analytics - New Delhi,EY,"New Delhi, Delhi","As a global leader in assurance, tax, transaction and advisory services, we’re using the finance products, expertise and systems we’ve developed to build a…",30+ days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=d15e6d9e32b13555&fccid=1544766d4c2915b0&vjs=3
Senior Research Analyst (Healthcare),BIS Research,"Noida, Uttar Pradesh","Previous experience in analyzing data using different techniques.
Proficient in quantitative and qualitative data collection and further analysis.",30+ days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=ce427c10de0ef452&fccid=fd85f30d9450eafe&vjs=3
"Data Analyst - Delhi, India",MediaMonks,"Delhi, Delhi",Analyze data from historical campaigns and measure the relative effectiveness of new creative strategies and activations.,30+ days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=8970ac2dd27990d4&fccid=fa794d7aa4d73a51&vjs=3
Data Analyst - SAS/SQL/Macros,ANI Calls India Private Limited,"Noida, Uttar Pradesh","Familiarity with healthcare claims data desirable.
Strong skills in analysis and presenting data with M.S. Excel.",30+ days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=95dad7279e911da2&fccid=3799fa8ac2d1edf2&vjs=3
Business Analyst-presentation specialist,Genpact,"Delhi, Delhi",Specialist in crafting PowerPoint presentations for investment banking and management consulting and can craft sophisticated charts in Excel and build data…,30+ days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=16ea3865d3e5e18a&fccid=afe30394bfba1470&vjs=3
Business Analyst - MIS,Genpact,"Noida, Uttar Pradesh","Designing and developing data model and dashboards.
Meaningful experience in reporting, data analysis and project/client management.",21 days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=2a47c077ff454a44&fccid=afe30394bfba1470&vjs=3
Technical Business Analyst,Technousa,"Delhi, Delhi","Apply Only if you have Excellent Verbal and Written Communication skills with Fluency in English.
We are urgently looking for Technical Business Analyst cum…",30+ days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=906c7279e647d926&fccid=441ad7511edeb259&vjs=3
Tech Analyst - HRIS - IT,Technip Energies,"New Delhi, Delhi","Assist key stakeholders with data analysis, data validations, and data extracts.
Helps maintain data integrity in HR systems by running queries and analyzing…",30+ days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=8f84a4ea1bf962fe&fccid=424b9d5ffaae8f0b&vjs=3
Opening For Business I.T Analyst,Assured Job Consultancy,"Delhi, Delhi","Install and configure hardware/software (printers, networks, antivirus, updates etc) • Carry out scheduled performance maintenance activities (eg. Back ups,…",30+ days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=20eaa048d7c9ccf5&fccid=dd616958bd9ddc12&vjs=3
Big Data Analytics Product Engineer for ArcGIS Enterprise,"ESRI, Inc.","New Delhi, Delhi","Develop deployment and implementation design of cloud native microservices for big data analysis.
2+ years of experience with data science or geospatial…",14 days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=08fda915cd671748&fccid=bebf9775d7d3bca8&vjs=3
Business Analyst - CSU,Ameriprise Financial,"Noida, Uttar Pradesh","Provide support to Registered Principals and Supervision leaders in conducting supervision by providing 1st level analysis of documents and processes, data…",30+ days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=aa4b755ed12dda93&fccid=990782d378c3e8b6&vjs=3
Associate Analyst,CmaxInsight,"Noida, Uttar Pradesh","Perform qualitative and quantitative data analysis.
Doing extensive and in-depth secondary research.
Develop a good understanding of pipeline and marketed…",30+ days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=72b86693a819dd6d&fccid=16642646fcbb03a1&vjs=3
Product lead Business intelligence,Maxerience inc,"Noida, Uttar Pradesh","Possess the ability to acquire, compile, and evaluate large amounts of data.
Min 4-6 years of experience in Business Analysis, Product Ownership, or other…",28 days ago,01/04/2021,https://www.indeed.com/company/Maxerience-inc/jobs/Product-Lead-Business-Intelligence-cd5871082309cc09?fccid=76fb768526f16553&vjs=3
Ecommerce Marketing Analyst,McCoy Mart,"New Delhi, Delhi","Knowledge of digital data technologies.
Compensation: Best in the Industry.
Identify trends, areas of opportunity, scale and potential improvements to drive…",30+ days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=1d29d74fd653a22a&fccid=429873d709b2cc76&vjs=3
"Data Analyst - Delhi, India",MediaMonks,"Delhi, Delhi",Analyze data from historical campaigns and measure the relative effectiveness of new creative strategies and activations.,30+ days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=8970ac2dd27990d4&fccid=fa794d7aa4d73a51&vjs=3
Analyst - Business Consulting Risk - National - Risk Transformation - New Delhi,Ernst & Young,"New Delhi, Delhi","What working at EY offers.
EY is committed to being an inclusive employer and we are happy to consider flexible working arrangements.
 Be a strong team player.",30+ days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=75aaf17270aa0174&fccid=1544766d4c2915b0&vjs=3
Assistant Manager - Data Visualization Jobs in Gurgaon / Gurugram,Genpact,"Delhi, Delhi","Knowledge of data management techniques, standard methodologies and preparing harmonized data readily consumable.
Are you the one we are looking for?",1 day ago,01/04/2021,https://www.indeed.com/rc/clk?jk=4611901bfbee10fd&fccid=afe30394bfba1470&vjs=3
Business Analyst,ShaktiSoft Projects,"Noida, Uttar Pradesh","To lead the business research team and analyze the leads generation & coordination.
Responsible for identifying target prospects and approach them for alliances…",30+ days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=73e86abaea1f543b&fccid=9f89a28f2336da78&vjs=3
PPC Analyst,Wildnet Technologies,"Noida, Uttar Pradesh","*Should have experience in Google AdWords (Search & GDN) campaign management, Google Editor expertise, Bing Ads campaign management, Remarketing campaign…",30+ days ago,01/04/2021,https://www.indeed.com/company/Wildnet-Technologies/jobs/PPC-Analyst-0245f627acbde619?fccid=0a24fad8d001a72f&vjs=3
Business Analyst,Wiley,"Noida, Uttar Pradesh","In addition, develop and monitor data quality metrics and ensure business data and reporting needs are met.
Location: Noida, Uttar Pradesh, India.",13 days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=b7904d6081181d73&fccid=bee6abba453010ff&vjs=3
Senior Consultant - Tech Consulting - National - Data & Analytics - New Delhi,Ernst & Young,"New Delhi, Delhi","Senior Consultant – Performance Improvement – Finance.
As Performance Improvement Senior Consultant - Finance, you'll actively establish, maintain and…",30+ days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=9a16a05a8e309b69&fccid=1544766d4c2915b0&vjs=3
Oracle Data analyst,ANI Calls India Private Limited,"Noida, Uttar Pradesh","Maintain existing logical and physical data models.
Help resolve questions and anomalies in data.
Guide the maintenance of ETL scripts to load data.",30+ days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=0fe80f3b26c4b0c0&fccid=3799fa8ac2d1edf2&vjs=3
Data Analyst JD Edwards,ANI Calls India Private Limited,"Noida, Uttar Pradesh","Strong experience creating reports from data housed in JDE.
Strong experience managing and maintaining data within JD Edwards (JDE).",30+ days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=4de00ab034b2fb27&fccid=3799fa8ac2d1edf2&vjs=3
Business Analyst: ADM,IBM,"Noida, Uttar Pradesh","Sound experience in data analysis, validation and presentation of results.
Are you looking for a career that will allow you to use your unique blend of business…",28 days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=d2faef09d8df1d37&fccid=de71a49b535e21cb&vjs=3
DBA: Database Analyst,Awapal Solutions,"Noida, Uttar Pradesh","Must possess data performance tuning and optimization skill.
Make reactive/ proactive data management support available.
Ace at performing tuning of database.",30+ days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=db21aa09b4cd1e07&fccid=9b9572c0a63647b6&vjs=3
Business Analyst - Workforce Management,Genpact,"Noida, Uttar Pradesh","Should be capable of handling lots of data in an efficient and effective manner.
Business Analyst - Workforce Management-INS007643.",10 days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=b584f7936270f96e&fccid=afe30394bfba1470&vjs=3
Business Analyst - Advanced Analytics,Genpact,"Noida, Uttar Pradesh","Experience involving quantitative data analysis to solve problems.
Perform data manipulation, wrangling, cleansing.
Serve as a coach/mentor for junior analysts.",23 days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=edfcd9aa3d00b8f0&fccid=afe30394bfba1470&vjs=3
Senior Consultant - Tech Consulting - National - Data & Analytics - New Delhi,EY,"New Delhi, Delhi","Supervising the data acquisition process if more data is needed.
Verifying data quality, and/or ensuring it via data cleaning.
O Max re-train time, etc.",30+ days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=c47aaade5bc39583&fccid=1544766d4c2915b0&vjs=3
Research Analyst II,IHS Markit,"A F Rajokari, Delhi","Strong analysis and data base manipulation skills.
Networking with key contacts in the automotive market to validate data and exchange intelligence.",13 days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=024babb965525542&fccid=c4ba6202af4dda9d&vjs=3
Analyst - Rapid Prototyping| GAMMA,The Boston Consulting Group,"New Delhi, Delhi","The BCG GAMMA A&S team is comprised of data engineers, data scientists and business consultants who specialize in the use of advanced analytics to get high…",30+ days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=b28d07db474822b8&fccid=b95f9eb47968fa13&vjs=3
QlikSense Analyst,ANI Calls India Private Limited,"Noida, Uttar Pradesh","Performs regular data analysis monitoring to provide prescriptive recommendations based on data.
Develops an understanding of all data contained within multiple…",30+ days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=7bf0aec0c2aaff6e&fccid=3799fa8ac2d1edf2&vjs=3
Data Scientist Advanced Analytics,ANI Calls India Private Limited,"Noida, Uttar Pradesh","Minimum 10+ years of experience in developing and designing Analytical solutions and models in SAS.
Minimum of two years of experience of working with SAS e…",17 days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=200004769ac408a3&fccid=3799fa8ac2d1edf2&vjs=3
Sr. Business Analyst,Ameriprise Financial,"Noida, Uttar Pradesh",Create business reports that provide insight into key data points and present the results of data analysis in weekly/monthly team meetings.,9 days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=1065e9ab4eda4e93&fccid=990782d378c3e8b6&vjs=3
Business Analyst,Adobe,"Noida, Uttar Pradesh","Advanced experience with SQL and pulling data from relational databases.
Exposure to data visualization tools (Power BI, Tableau, etc.).",30+ days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=b0cce469b61b71d3&fccid=f89deb5a97c7738a&vjs=3
Business Analyst - SQL Developer,Genpact,"Noida, Uttar Pradesh","Understand fundamentals of data preparation/data modelling necessary for the visualization purpose.
Handle complexity around visualization or data.",30+ days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=b62112b59c8becf4&fccid=afe30394bfba1470&vjs=3
Senior Research Analyst (Semi-Conductors/ICT),BIS Research,"Noida, Uttar Pradesh","Previous experience in analyzing data using different techniques.
Proficient in quantitative and qualitative data collection and further analysis.",30+ days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=c16b2d1a2420b530&fccid=fd85f30d9450eafe&vjs=3
Business Intelligence Developer,ScaleupAlly,"Noida, Uttar Pradesh","Work on smooth data integration and data pull automation with client environment (data lakes, data marts etc.) through APIs or other mechanisms.",30+ days ago,01/04/2021,https://www.indeed.com/company/Admito.in/jobs/Business-Intelligence-Developer-c88c380f27941284?fccid=ee53920be0e9f3e1&vjs=3
Business Analyst - Tableau Developer,Genpact,"Noida, Uttar Pradesh","Understand fundamentals of data preparation/data modelling necessary for the visualization purpose.
Should have handled complexity around visualization or data.",30+ days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=39768652ee709810&fccid=afe30394bfba1470&vjs=3
Forensic Data Analytics,ANI Calls India Private Limited,"Noida, Uttar Pradesh","Solid organizational skills, especially the ability to meet project deadlines with a focus on details.
Ability to encourage a team environment on engagements.",30+ days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=9a6feb328a97e14f&fccid=3799fa8ac2d1edf2&vjs=3
Senior Supplier Risk Analyst,The Boston Consulting Group,"New Delhi, Delhi","Develop and implement best practices for master data management – data integrity, data cleaning and data management - working in collaboration with subject…",30+ days ago,01/04/2021,https://www.indeed.com/rc/clk?jk=8409ec96a0e6d83b&fccid=b95f9eb47968fa13&vjs=3
